time[minutes]	whole-blood[kBq/cc]			
0	0			
0.017	0.70242788			
0.033	0.89209081			
0.05	1.07874195			
0.067	0.68297555			
0.083	0.36286282			
0.1	0.84560318			
0.117	0.42528096			
0.133	0.52288117			
0.15	0.35054309			
0.167	0.1459938			
0.183	1.10960613			
0.2	0.96622388			
0.217	0.76622294			
0.233	0.81144244			
0.25	0.46818321			
0.267	1.35144558			
0.283	1.23994411			
0.3	1.74845953			
0.317	1.48105293			
0.333	1.3129847			
0.35	3.2648896			
0.367	2.86986051			
0.383	4.88586374			
0.4	5.07450074			
0.417	7.38126256			
0.433	7.20921442			
0.45	9.72582317			
0.467	9.00046016			
0.483	8.49460883			
0.5	10.7053132			
0.517	10.5397708			
0.533	9.71412512			
0.55	10.2346464			
0.567	10.2797324			
0.583	9.09138173			
0.6	8.16641629			
0.617	8.36589893			
0.633	7.66288923			
0.65	7.18100596			
0.667	6.91062646			
0.683	7.6358287			
0.7	7.28838865			
0.717	6.50657689			
0.733	7.34289933			
0.75	7.04769233			
0.767	6.00263167			
0.783	6.85758552			
0.8	5.2354507			
0.817	5.5113163			
0.833	7.22993608			
0.85	7.48546604			
0.867	6.42421269			
0.883	5.65146848			
0.9	5.23168856			
0.917	4.25756099			
0.933	4.4347957			
0.95	5.57975599			
0.967	4.61536939			
0.983	5.40395813			
1	3.7995423			
1.017	4.14290683			
1.033	5.01135335			
1.05	4.56752039			
1.067	3.4987832			
1.083	5.19151545			
1.1	4.2101303			
1.117	4.68670646			
1.133	4.48625479			
1.15	4.73245345			
1.167	4.10415731			
1.183	3.61051653			
1.2	4.51006642			
1.217	4.77621549			
1.233	2.88468939			
1.25	2.89451191			
1.267	3.07143707			
1.283	4.41394782			
1.3	3.6687707			
1.317	3.39398513			
1.333	3.33327027			
1.35	3.42916682			
1.367	3.16471446			
1.383	4.90779617			
1.4	2.93908141			
1.417	4.22259376			
1.433	3.28570134			
1.45	2.5324128			
1.467	3.29459724			
1.483	3.09469055			
1.5	4.11543116			
1.517	4.38214883			
1.533	3.34491952			
1.55	2.60962978			
1.567	3.78575108			
1.583	3.86549349			
1.6	3.48807933			
1.617	3.45783648			
1.633	3.12908576			
1.65	3.50981494			
1.667	3.74837348			
1.683	3.20476747			
1.7	4.1982151			
1.717	3.56818974			
1.733	3.90138459			
1.75	3.3665274			
1.767	3.37543339			
1.783	3.47465099			
1.8	3.70392691			
1.817	2.85218584			
1.833	3.67080017			
1.85	3.65198155			
1.867	3.31943921			
1.883	3.89702425			
1.9	3.23485805			
1.917	3.99679152			
1.933	3.54714395			
1.95	3.86527205			
1.967	2.49060359			
1.983	3.83269431			
2	3.44814166			
2.017	3.79514812			
2.033	3.43093474			
2.05	4.07035607			
2.067	2.49550551			
2.083	2.59098127			
2.1	3.26117907			
2.117	2.67520353			
2.133	3.80812256			
2.15	2.46204121			
2.167	2.84053449			
2.183	3.49545452			
2.2	3.81026746			
2.217	3.52991505			
2.233	2.76354904			
2.25	4.20778406			
2.267	3.7764774			
2.283	4.8104844			
2.3	3.57772959			
2.317	3.8671085			
2.333	3.03287505			
2.35	3.0480424			
2.367	4.36440359			
2.383	3.73951364			
2.4	3.10606831			
2.417	4.02977175			
2.433	4.4691244			
2.45	3.44141266			
2.467	3.33949998			
2.483	3.12328047			
2.5	3.80316068			
2.517	3.82030956			
2.533	3.63183822			
2.55	3.74365496			
2.567	3.13806665			
2.583	3.08040517			
2.6	4.00557682			
2.617	3.67189677			
2.633	3.28650456			
2.65	3.42012005			
2.667	3.95352132			
2.683	3.71892587			
2.7	3.30619247			
2.717	3.46173289			
2.733	3.14207895			
2.75	3.77792431			
2.767	3.37993926			
2.783	3.3277041			
2.8	3.32533923			
2.817	3.78069046			
2.833	3.97423929			
2.85	2.95330706			
2.867	2.92133183			
2.884	3.44958595			
2.901	2.82120516			
2.918	3.35915522			
2.935	3.27012895			
2.952	2.91211697			
2.969	3.88640847			
2.986	2.75803758			
3.003	3.09937751			
5	3.63112172			
10	3.61594589			
19.917	3.14868673			
40	2.73528944			
70	2.55627509			
