time	whole_blood_radioactivity
1.02	0.70242788
1.98	0.89209081
3	1.07874195
4.02	0.68297555
4.98	0.36286282
6	0.84560318
7.02	0.42528096
7.98	0.52288117
9	0.35054309
10.02	0.1459938
10.98	1.10960613
12	0.96622388
13.02	0.76622294
13.98	0.81144244
15	0.46818321
16.02	1.35144558
16.98	1.23994411
18	1.74845953
19.02	1.48105293
19.98	1.3129847
21	3.2648896
22.02	2.86986051
22.98	4.88586374
24	5.07450074
25.02	7.38126256
25.98	7.20921442
27	9.72582317
28.02	9.00046016
28.98	8.49460883
30	10.7053132
31.02	10.5397708
31.98	9.71412512
33	10.2346464
34.02	10.2797324
34.98	9.09138173
36	8.16641629
37.02	8.36589893
37.98	7.66288923
39	7.18100596
40.02	6.91062646
40.98	7.6358287
42	7.28838865
43.02	6.50657689
43.98	7.34289933
45	7.04769233
46.02	6.00263167
46.98	6.85758552
48	5.2354507
49.02	5.5113163
49.98	7.22993608
51	7.48546604
52.02	6.42421269
52.98	5.65146848
54	5.23168856
55.02	4.25756099
55.98	4.4347957
57	5.57975599
58.02	4.61536939
58.98	5.40395813
60	3.7995423
61.02	4.14290683
61.98	5.01135335
63	4.56752039
64.02	3.4987832
64.98	5.19151545
66	4.2101303
67.02	4.68670646
67.98	4.48625479
69	4.73245345
70.02	4.10415731
70.98	3.61051653
72	4.51006642
73.02	4.77621549
73.98	2.88468939
75	2.89451191
76.02	3.07143707
76.98	4.41394782
78	3.6687707
79.02	3.39398513
79.98	3.33327027
81	3.42916682
82.02	3.16471446
82.98	4.90779617
84	2.93908141
85.02	4.22259376
85.98	3.28570134
87	2.5324128
88.02	3.29459724
88.98	3.09469055
90	4.11543116
91.02	4.38214883
91.98	3.34491952
93	2.60962978
94.02	3.78575108
94.98	3.86549349
97.02	3.45783648
97.98	3.12908576
99	3.50981494
100.02	3.74837348
100.98	3.20476747
102	4.1982151
103.02	3.56818974
103.98	3.90138459
105	3.3665274
106.02	3.37543339
106.98	3.47465099
108	3.70392691
109.02	2.85218584
109.98	3.67080017
111	3.65198155
112.02	3.31943921
112.98	3.89702425
114	3.23485805
115.02	3.99679152
115.98	3.54714395
117	3.86527205
118.02	2.49060359
118.98	3.83269431
120	3.44814166
121.02	3.79514812
121.98	3.43093474
123	4.07035607
124.02	2.49550551
124.98	2.59098127
126	3.26117907
127.02	2.67520353
127.98	3.80812256
129	2.46204121
130.02	2.84053449
130.98	3.49545452
132	3.81026746
133.02	3.52991505
133.98	2.76354904
135	4.20778406
136.02	3.7764774
136.98	4.8104844
138	3.57772959
139.02	3.8671085
139.98	3.03287505
141	3.0480424
142.02	4.36440359
142.98	3.73951364
144	3.10606831
145.02	4.02977175
145.98	4.4691244
147	3.44141266
148.02	3.33949998
148.98	3.12328047
150	3.80316068
151.02	3.82030956
151.98	3.63183822
153	3.74365496
154.02	3.13806665
154.98	3.08040517
156	4.00557682
157.02	3.67189677
157.98	3.28650456
159	3.42012005
160.02	3.95352132
160.98	3.71892587
162	3.30619247
163.02	3.46173289
163.98	3.14207895
165	3.77792431
166.02	3.37993926
166.98	3.3277041
168	3.32533923
169.02	3.78069046
169.98	3.97423929
171	2.95330706
172.02	2.92133183
173.04	3.44958595
174.06	2.82120516
175.08	3.35915522
176.1	3.27012895
177.12	2.91211697
178.14	3.88640847
179.16	2.75803758
180.18	3.09937751
